id,related
Ce8,SCCS: Basques [SCCS50]
Cf1,
Cf2,
Cf3,
Cf4,
Ac29,
Cf5,
Cg1,
Cg2,
Cg3,SCCS: Irish [SCCS51]
Cg4,SCCS: Lapps [SCCS52]
Cg5,
Ch1,
Ch10,
Ch11,SCCS: Russians [SCCS54]
ch12,
Ac3,SCCS: Bemba [SCCS7]
ch13,
ch14,
ch15,
ch16,
ch17,
ch18,
ch19,
Ch2,
ch20,
ch21,
Ac30,
ch22,
ch23,
ch24,
ch25,
ch26,
ch27,
ch28,
Ch3,
Ch4,
Ch5,
Ac31,
Ch6,
Ch7,
Ch8,
Ch9,
Ci1,
Ci10,SCCS: Armenians [SCCS56]
Ci11,SCCS: Kurd [SCCS57]
Ci12,SCCS: Abkhaz [SCCS55]
Ci2,
Ci3,
Ac32,
Ci4,
Ci5,SCCS: Turks [SCCS47]
Ci6,
Ci7,
Ci8,
Ci9,
Cj1,
Cj10,
Cj2,SCCS: Rwala Bedouin [SCCS46]
Cj3,SCCS: Hebrews [SCCS44]
Ac33,
Cj4,SCCS: Babylonians [SCCS45]
Cj5,
Cj6,
Cj7,
Cj8,
Cj9,
Ea1,
Ea10,
Ea11,
Ea12,
Aa6,
Ac34,
Ea13,SCCS: Punjabi (West) [SCCS59]
Ea2,
Ea3,
Ea4,
Ea5,
Ea6,SCCS: Basseri [SCCS58]
Ea7,
Ea8,
Ea9,
Eb1,SCCS: Kazak [SCCS65]
Ac35,
Eb2,
Eb3,SCCS: Khalka Mongols [SCCS66]
Eb4,
Eb5,
Eb6,
Eb7,
Eb8,
Ec1,Binford: Gilyak [B25]; SCCS: Gilyak [SCCS119]
Ec10,
Ec11,
Ac36,
ec12,Binford: Nganasan [B27]
ec13,
ec14,Binford: Siberian Eskimo [B28]
ec15,
ec16,
ec17,
ec18,
ec19,
Ec2,
ec20,
Ac37,
ec21,
Ec3,SCCS: Chukchee [SCCS121]
Ec4,SCCS: Yurak Samoyed [SCCS53]
Ec5,
Ec6,Binford: Yukaghir [B26]; SCCS: Yukaghir [SCCS120]
Ec7,Binford: Ainu [B22]; SCCS: Ainu [SCCS118]
Ec8,Binford: Ket [B24]
Ec9,
